family,doc_state,notes,updated,engines,sid_count
gmc,OK,"research-player sweep complete (2026-06-13, gather-only/sonnet). GMC=Game Music Creator (Brian/Graffity, Hungary, Dec 1990; 446 V1 + 9 V2.0-revival HVSC tunes). CLOSED engine. HEADLINE: direct predecessor of DMC (same author, 8 weeks before DMC V1.2) -> the already-migrated DMC pipeline largely transfers (shared Tracks->Sectors, $1000/$1003, 8-subtune table, abs,X write dispatch; GMC sounds 16 bytes vs DMC V4 11 -> fresh instrument-decode). Engine model + version taxonomy (V1.0/V1.6/V2.0-revival; sidid V1 x16-ASL vs V2 nibble-split) + census (455; $18EA/$14EA dominant) captured. Byte-level OPEN -> RE during migration (bootstrap: HVMEC editor D64s + Fenek's 2006 reimplementation). Cleared to start. See pipelines/gmc/docs/README.md.",2026-06-13,"[""GMC/Superiors""]",448
goattracker,OK,research-engine sweep complete; gathered corpus present; cleared to start disassembly/annotation.,2026-06-13,"[""GoatTracker_V1.x"", ""GoatTracker_V2.x""]",9184
hardtrack,OK,"research-player sweep complete (2026-06-13): released elysium SDK source recovered + player disassembled byte-exact and verified vs siddump. Binary layout, per-frame write model ($D417 accumulation, V3->V2->V1, ADSR-on-note-on), single-format version taxonomy (V1.0/V1.1/V1.0+6speed; one sidid sig, all 1170), Polish provenance all captured. NO CIA multispeed in HVSC renders (flat Mode-1 verdict). DMC cousin (operand-derived tables -> dataflow extract transfers). Cleared to start disassembly; canary HT_7_1.sid. See pipelines/hardtrack/docs/README.md.",2026-06-13,"[""HardTrack_Composer""]",1170
hubbard,OK,research-engine sweep complete; gathered corpus present; cleared to start disassembly/annotation.,2026-06-13,"[""Rob_Hubbard""]",289
jch_newplayer,OK,"research-player sweep complete (2026-06-13): grounded in released player source (CheeseCutter player_v4.acme = NP21.G4 by Laxity/VIB) + a maintained NP20 packed-binary parser (SID Factory II converter_jch.cpp) + codebase64 spec + a decoded HVSC binary. Per-frame write model, hard-restart semantics, two-encoding split (packed NP20.G4 vs NP21+ runtime), variant taxonomy (V1-V20, 3-author lineage), and DMC->JCH transfer map all captured. Cleared to start disassembly. See pipelines/jch_newplayer/docs/README.md.",2026-06-13,"[""JCH_NewPlayer""]",3687
jeff,OK,"research-player sweep complete (2026-06-14). Jeff = custom player(s) of Soren Lund ('Jeff'), Danish (1974-2013), Cyberzound Productions/Camelot. 192 HVSC SIDs (engine 'Jeff'), 178 his own. ~30 players + 2 editors over career; no public source. Editors: CZP Music Editor V2.0 (1996, never released, .d64 CSDb #122334) + X-SID (Viruz 2007, 6581.dk/xsid-viruz.rar). Jeff_Minter (2) is the unrelated Llamasoft dev. BINARY (V9.x dominant, $1000, version str '-PLAYER V9.6 (C) JEFF / CAMELOT-' @ $1020): 2 JMP trampolines; per-voice state $1040 (7B stride X=0/7/$0E); freq lo+hi 96-entry tables $10C4-$1183; arp/vib semitone offsets $1184; init $11A4; play+fx $12F0-$17B7; 16-bit address table $17C8 (orderlists->instruments->patterns); instrument programs + pattern data $18xx+. PATTERN: (dur,note)* term $FF (note $01-7B semitone, $7F tie, $7D rest). INSTRUMENT PROGRAM: (dur,wave)* ($41 pulse+gate/$21 saw/$81 noise/$FE loop). WRITE MODEL (VBI speed=0): $D418 unconditional first write/frame; per voice (X=0/7/$0E) $D415/16 filter(cond), $D402/03 PW, $D404 gate-off+oldwave (HARD RESTART), $D405/06 ADSR (new note not tie), $D400/01 freq (note or glide/vib), $D404 gate-on; $D417 init-only. Additive freq lookup ((ctr&$1F)*8 into split table). FEATURES (Remix64 interview): JCH-like 2-level track/seq; wave-freq/glide/detune/vibrato/ADSR-manip tables (tremolo/echo/reverb); heavy pulse+filter; multispeed via wave-freq tables; max $1C rastertime. VARIANT TAXONOMY (binary-confirmed, NOT all one engine): BullSID/FLT/BullSID3 = SAME V9.x core, init-only micro-variants (fold into one path); Jeff/Airwalk = OLDER different engine (V4, 3-ZP-pointer $F9/FA/FB); Jeff/XLarge = different tiny direct-table player; X-SID(2007) = genuine redesign (all regs/frame). Plus $FD0-era (19 SIDs, 1991-94) = earlier predecessor gen. CORPUS: 78.5% $1000/$1003, 6 multi-subtune (FLT 2-sub=6581+8580), all PSID v2; Soren Lund 85%, Duck LaRock 14. Migration first step: disassemble V9.x tune for instrument-program opcodes + address-table indexing; CZP Editor V2.0 .d64 (#122334) = format-by-example; handle $FD0/Airwalk-V4/XLarge/X-SID as separate small paths. Cleared to start disassembly. See pipelines/jeff/docs/README.md.",2026-06-14,"[""Jeff""]",192
john_player,OK,"research-player sweep complete (2026-06-14). John Player = beginner-friendly C64 tracker by Aleksi Eeben ('Heatbeat', Finland), CNCD/Cyberiad, 2001-02. 183 HVSC SIDs. load/init $1000, play $1003, <8 rasterlines. **★ FULL WLA-6510 SOURCE RECOVERED** (V1.0+V1.4 source.zip + V1.6 player) -> src/v10/, src/v14/, src/player.asm (+editor/packer/disk). BEST-SOURCED family of the sweep; data layout from primary source. Other John_* sidid strings (Darnell/Hancock/Prince/Klonaris/Kyle Johnson) are UNRELATED. DATA LAYOUT (reloc $1000, V1.x): FreqTab +$0358 (84B=42 word/semitone), VibTab +$0400 (32B sine), SoundTab +$0420 (11B/sound), shared 64-step FilTab +$0500/WaveTab +$0540/ArpTab +$0580, Sequencer +$05C0, BlockData +$0600. SOUND DESCRIPTOR (11B): AD,SR,trig-pos,end-pos,loop-pos,PWM-init,PWM-rate,PWM-top,PWM-bottom,filter-reso/chsel($D417),filter-type/vol($D418). PER-STEP cols: waveform->$D404, arpeggio ($00-7E rel semitone/$80-FF abs pitch-hi), filter-cutoff addend->$D416 (voice1). BLOCK STEP 8B: [-][-][v1note][v1snd][v2note][v2snd][v3note][v3snd]; note 0=empty/$01-7F idx/$FE=gate-off mask (patched into AND #$FE, NOT loop). 8 BLOCK COMMANDS: End/Brk/Flt/Tmp/Ini(vib width)/Vib(rate)/Mod/Off. ZP $40-4C (13B). WRITE MODEL (3-voice VBI, new note): $D404=0(gate-off HR)->$D405 AD->$D406 SR->$D404=$09(test+gate HR)->$D417 reso/route->$D418 mode/vol->$D416(FilTab+ZP$41)->$D404=WaveTab AND $FE->$D402/03 PW(SMC)->$D400/01 FreqTab[note*2](+vib SMC). Triple $D404 = hard restart; $D415 NEVER written. Heavy SMC (step ptrs/gate mask/vib CMP<->ADC/PWM EOR) -> rebuild emits clean code per CORE TENET. FOUR VERSIONS: V1.0(0 in HVSC), V1.4(13, hardcoded LDA #$09 ctrl), V1.6(93 DOMINANT, voice block loads SoundTab+2/3/4 via LDA abs,Y), V2.0b(77, RESTRUCTURED: SoundTab->$1520 7B-records, Wave->$1680, Arp->$1700, Freq->$1460, 128-step tables, 32 sounds, play $10BA, songs INCOMPATIBLE w/ V1.x -> separate decoder). **FREQ: use Aleksi's 2024-corrected table (985248 Hz PAL, not 1MHz).** CORPUS: 89.6% $1000/$1003, 180/183 single-subtune, all PSID v2; Aleksi 29%; few play=$0000 maybe CIA. Migration: V1.6 extractor straight from src/player.asm (dominant 93), then V1.4; V2.0b separate decoder (confirm 128-step layout vs binary); 985248Hz freq table. Cleared to start disassembly. See pipelines/john_player/docs/README.md.",2026-06-14,"[""John_Player""]",186
laxity_newplayer,OK,"research-player sweep complete (2026-06-14). KEY: Laxity_NewPlayer_V21 IS NP21.G4 = the same player documented OK under jch_newplayer (CheeseCutter player_v4.acme = 'JCH NP 21.G4 by Laxity/VIB'); this corpus is the V21-specific delta. Captured: full NP21 effect/command routines read from player_v4.acme in full (the JCH README's open lead #3 = the write oracle) — per-voice write order D400/D401/D406(SR)/D405(AD)/D402/D403/D404, tsync 3-frame HR state machine, 4 HR types incl. $Ax 'Laxity restart' (AD preserved, G5 addition via inst Byte C), all 9 super-table effects, inline $40-$ff seq commands, 4-byte pulse/filter rows, wave column-B semantics; SIDId signatures (V21 anchors on STA $D404,Y + CMP #$FF + DEC abs,X; vs Glover/Vibrants-Laxity/SF2); sub-variant taxonomy G4(26563)->G5(33785, Byte-C HR)->B6, no NP21.Q (Q is JCH's NP20 era), NP21.G6 is Samar not Laxity; corpus stats (313 SIDs, 92% $1000/$1003, DRAX+G-Fellow=83%). Canonical base corpus in pipelines/jch_newplayer/docs/. Cleared to start disassembly. See pipelines/laxity_newplayer/docs/README.md.",2026-06-14,"[""Laxity_NewPlayer_V21""]",322
loadstar_songsmith,OK,"research-player sweep complete (1 broad wave, 4 clusters). US Loadstar disk-magazine hobbyist tool by Joe Garrett (Softdisk; precursor by Garrett+Gardner, Loadstar #27-28; re-documented Loadstar #237 by Dave Moorman). NOT a Sidplayer/.MUS tool (verified) and NOT a tracker -- notation-style: 3 voices, classical durations (W/H/Q/E/S+dot+rest), key/time sig, tempo ~30-260bpm, ~19 preset ADSR+waveform instruments, NO triplets/tied/filter/LFO/portamento (=clean USF target, pitch+duration+per-voice ADSR/waveform, no effect chain). Player init $CC00/play $CC48; note lookup (note-1)*2 into word freq table. 4 sidid variants byte-decoded (mature 308 reloc ABS-read / v1 19 ZP-indirect / v2 1 fixed $C290 / v3 3 reloc). On-disk native = m.SONG (notes) + w.SONG (1 block ADSR+timbre). Primary docs recovered: Loadstar 237 t.songsmith + converter docs (SIDSmith/SmithSID). OPEN (RE-phase): exact m-file note/duration interleave + freq table values via disasm. 331 HVSC tunes.",2026-06-14,"[""Loadstar_SongSmith"", ""Loadstar_SongSmith_v1"", ""Loadstar_SongSmith_v2"", ""Loadstar_SongSmith_v3""]",338
lords_of_sonics,OK,"research-player sweep complete (2026-06-16). Engine = C64 driver by Markus Schneider ('MS'; aliases Diflex/Synth-Man), written 1988 as a Soundmonitor replacement for Jens Blidon; the two founded German group Lords of Sonics. 123 HVSC SIDs shared across many composers (Blidon, Babyface/Kagan Demir, A-Man, Spang, Ice, Mc Olly, SMC, game rips). KEY: the driver WAS publicly released as The Parsec Music Editor V5.1 (1989, Mnemonic Designs, CSDb #10744 has a .d64) -> format recoverable by disassembling the editor's player stub. Lineage: LOS/MS -> Parsec -> (Schneider joins X-Ample 1989) -> Compotech V2.x; Compotech/X-Ample are a SEPARATE sidid family (xample). sidid LordsOfSonics/MS = 2-line play sig + (Parsec) init sub-variant (in docs/src). Play routine: X=voice (2->0), Y=SID reg offset (0/7/14), double-indexed freq table, bit-2 gate test. PSID load=0 (real load = first 2 payload bytes); canonical layout V_PLAY_INIT (87/123) = [lo hi] JMP play/JMP init; engine header ~payload+8. Outliers: No_Mercy (13 subtunes, play=$0000), Timezone, Blax, A-Man NOP3 cluster. See docs/README.md.",2026-06-16,"[""LordsOfSonics/MS""]",134
master_composer,OK,"research-player sweep complete (2026-06-13): engine fully decoded from the local JC64dis annotation + 2 ground-truthed disasms (Maniac.sid) + siddump. Page/block/bar model (block=16-reg full SID snapshot via outTimbre +$0AA; note $00 rest/$01-$63 freq/$64 gate-off), no effect engine. Corrections: CIA-timed (speed=$1 for 996/1019 -> per-IRQ verdict), table bases dataflow-derived per file (>=2 variants, DMC-style). Variants: Patrick_Payne = same player; Lope_Pulse_Sweep ~20 files = PW-sweep add-on; TFMX/MasterComposer = separate engine (exclude). No public manual; source not public but RE complete. Cleared to start; canary Kleimeyer_Paul/Maniac.sid. See pipelines/master_composer/docs/README.md.",2026-06-13,"[""Master_Composer""]",1078
mon_deenen,OK,"research-player sweep complete (2026-06-15 + follow-up wave 2026-06-16). Cleared to start disassembling. Maniacs of Noise driver ('Musicfile') by Charles Deenen + variants by Jeroen Tel, Reyn Ouwehand. HVSC tag MoN/Deenen = 135 SIDs (Tel 72 / Deenen 19 / Ouwehand 16 + minor); load $1000; 3-voice; commercial game music ~1988-93; TurboAssembler, binary-only (no public spec/source). RECOVERED: RE'd ACME player source for EVERY variant from github realdmx/c64_6581_sid_players -> docs/src/*.asm (Deenen Test Tune 1/2 + SFX Player, Tel Cybernoid2, Ouwehand Armada + Dutch Breeze, Bjerregaard Myth + James Bond 3); repo fully inventoried (nothing more for MoN). COMMON CORE (Deenen/Tel/Ouwehand): 8-byte instrument [waveform,AD,SR,gate_len,pulse_fx,fx1=vibrato,fx2=pulse_sweep,fx3=arp/drum/flags]; 96-note freq table C0-B7; sequence stream $C0-DF=instrument $80-BF=note-len $00-7F=pitch $FF=loop $FE=end; per-voice effects vibrato/pulse-sweep/glide/arp/drum/filter; speedbyte tempo. *** CRITICAL DISAMBIGUATION (3 separate HVSC tags): MoN/Deenen=135 (THIS engine, family mon_deenen); MoN/FutureComposer=4024 (the FC standard player, family future_composer) -- and the parenthesised sidid sub-IDs (MoN/Cyb2),(MoN/TTWII),(MoN/JTS),(MoN/RWE),(MoN/Bantam) AND (MoN/Deenen_Digi) all roll up to MoN/FutureComposer NOT MoN/Deenen, so the 16 digi tunes belong to the FC family, not here; MoN/Bjerregaard=77 (Bjerregaard's FORK -- AD/SR-first instrument order, diff sequence opcode ranges, 'second sustain', global tempo -- its own engine). *** Music_Assembler (6351 SIDs, Dutch USA-Team) is unrelated despite sharing the sidid.cfg. sidid signatures all in docs/src/sidid_cfg_cadaver.txt; Monase tool contents + SFX .SFX format decoded in docs/followup_csdb_findings.md. Detection already works (no sidid config to maintain): repo does not run sidid live; engine column comes from cached dump deprecated/gt2_grading/data/sidid_full.txt which already tags all 135 as MoN/Deenen; there is no tools/sidid.cfg. MIGRATION TODO (not research): seed_disassembly.py a rep SID (Cybernoid II / Mantalos) -> disassembly.s + extractor, cross-ref docs/src/*.asm. Full index: pipelines/mon_deenen/docs/README.md + provenance_log.md.",2026-06-16,"[""MoN/Deenen""]",140
music_assembler,OK,research-player sweep complete (2026-06-13): manual vendored; player entry points + per-frame write model RE'd (two independent traces agree); packed format effectively documented via JC64dis hand-annotation + sidid anchor; variant taxonomy mapped. Cleared to start disassembly. See pipelines/music_assembler/docs/README.md.,2026-06-13,"[""Music_Assembler""]",6462
musicshop,OK,"research-player sweep complete (2026-06-14). The Music Shop = 1984 COMMERCIAL C64 music-composition program by Don Williams / Broderbund ($44.95, 1984-09-27; MIDI version 1985 via Passport). 182 HVSC SIDs. **It's a GRAPHICAL STAFF-NOTATION editor, NOT a tracker** - most application-like target. Full 50-page manual recovered (src/manual_full_text_extract.md). RIPPED COMMERCIAL APP not relocatable player: 180/182 fixed init=$A04D play=$575A (PSID load=0 -> payload $95F6); play vector NOT in payload - init copies stubs to low RAM (~$575C/$5E46). **CIA-TIMED: PSID speed=0x01 confirmed across corpus -> needs --writelog-per-irq verdict (NOT flat 50Hz).** BINARY (3 regions, byte-stable player): player stubs $95F6-A0FF (2570B identical, note-walk SIDId sig $978A, duration table $97D0=[0,20,40,60,80,100,120,140]); song header $A100 (->$77D4: step_size $77D5=4-20 varies, 'MS' magic $77E0, per-voice ADSR 5B x3, CIA tempo $77DA); note data $A200 (->$78D4: ALWAYS 480 columns x step_size bytes, first 12B zero). NOTE FORMAT: 2-byte SID FREQUENCY pairs [lo][hi] LE ($0000=rest) - validated vs known scores (Canon-in-D D6=$4E68); markers $FD tie/$FA end/$FC loop/bit7 rest. Note-walk $978A = relative-offset LINKED LIST (reads 2-byte offset + step_size, advances per-voice ptr $3F:$40). PLAYER STORES SID-FREQ DIRECTLY (notation->pitch done at save time) - don't re-derive from staff. step_size extra bytes = gate/duration/vibrato/filter/PW (sub-structure = main RE gap). MUSICAL MODEL (manual): <=20 pages, 3 voices=3 SID osc (<=3 simul notes/col), pitch by staff position, durations whole-32nd+dotted+ties+triplets, any time sig; per-voice SID synth ADSR/waveform/control(gate/sync/ring/vib)/PW/filter; 8 FACTORY PRESETS switchable mid-score via COMMODORE+1-8 events; tempo/vol/vibrato globals. .seq save = screen layout (symbol-code+vertical placement), but the SID EXPORT (HVSC) is already the freq stream. CORPUS: 180/182 fixed layout, single-subtune except Karateka (20, Francis Mechner); folders DEMOS/UNKNOWN/Music_Shop 121 (intl community, 1988 crack), Williams_Don 28, Safavy_Mehdi 20. Migration first step: disassemble $575A/$978A player + siddump --writelog correlate to decode step_size column sub-structure (gate/dur/vib/filter/PW) + CIA tempo. Cleared to start disassembly. See pipelines/musicshop/docs/README.md.",2026-06-14,"[""MusicShop""]",184
ninjatracker,OK,"research-player sweep complete (2026-06-16). Minimal native C64 tracker by Lasse Oorni (Cadaver) of Covert Bitops (same author as GoatTracker), designed for minimum rastertime. 111 HVSC SIDs (18 V1.x + 93 V2.x); mostly Cadaver's games + modern commercial titles (Sarah Jane Avory: Zeta Wing/Sam's Journey/Briley Witch). BEST CASE: full PLAYER SOURCE is public and saved to docs/src/ (nt2play_v204.s = V2 engine, ntplay_v1.s = V1 engine) plus the GT2NT2 converter gt2nt2.c (writes the NT2 binary = byte-layout ground truth) + distribution readmes + sidid V1/V2 sigs. Format fully specified, NO RE needed. API: nt_newmusic (21 self-mod fixups, relocatable) / nt_playsong / nt_music; V2 uses 2 ZP bytes. Gamemusic binary = 6-byte size header {wave,pulse,filt,cmd,legatocmd,patt} + packed sections (player code NOT stored with music). Patterns: raw=(note<<1)|has_cmd, notes $18-$BE=C-1..B-7, dur byte >=$C0; cmd $01-$7F normal / $81-$FF legato. Orderlist: $00 loop, $01-$7F patt, $80-$BF/$C0-$FF transpose down/up. 2-column tables (wave/pulse/filter). Hard-restart V2.03+ = 2+1 silent frames. V1 and V2 are DISTINCT engines (full rewrite; sidid sigs share no bytes; V1=5 ZP bytes, 3-col tables, no commands/legato/filter/hard-restart). All VBL/50Hz; play=init+3 canonical; 2 play=$0000 data-only members. See docs/README.md + docs/format_spec.md.",2026-06-16,"[""NinjaTracker_V1.x"", ""NinjaTracker_V2.x""]",116
odintracker,OK,"research-player sweep complete (2026-06-15, 6 parallel agents). OdinTracker = native C64 SID tracker by Zoltan Konyha ('Zed', BME Budapest, zed@inf.bme.hu); v1.00 (Feb 2000) -> v1.13 (Apr 2001). 159 HVSC SIDs; 3 voices, 50Hz VBI, NO CIA multispeed, NO digi/samples. GREEN-FIELD MIGRATION: the COMPLETE commented DASM player source is public (OdinTracker113src.zip, CSDb #2628 + zimmers.net) and now in-tree at docs/src/ - vplayer.s (1222 lines, THE decompiler target: init/play/stop, fetchrow, process_instrument, calcvibrato, effect jump-table, pp_dump2sid), defines.s (memory map + instrument offsets), tracker.s (8163 lines = editor+packer/relocator = packed-binary serialization ground truth), eplayer.s, help.txt, HISTORY.txt, freqtab.cpp, vibrato.s, depacker.s. NO RE NEEDED to understand the format - it's fully documented by primary source. Canonical reference = docs/src/github_odintracker_format_and_player.md (18 sections, migration-ready). FORMAT: orderlist ($FF-term) of 6-byte patterns (3 track# + 3 signed transpose); track = 64 rows x 3 bytes, row=[note|eff_bit3][instr|eff_lo-via-ROR][param], note 1=C-0..96=B-7/97=off; 32 instruments x 16 bytes COLUMN-MAJOR (field N at INSTRUMENTS+N*32): AD,SR,wave s/e/loop,arp s/e/loop,vibdelay,vibdepth/speed,pulse width/speed/limits,filter s/e/loop; shared 256B wave/arp/filter tables stepped by per-inst s/e/loop; 16 effects 0-F (F=multi: speed/vol/filtermode/fineslide/notecut/notedelay[UNIMPLEMENTED rts-stub]/filterctrl/hardrestart). WRITE ORDER per frame voices 2->1->0: PWlo,PWhi,freqlo,freqhi,ctrl+gate,AD,SR then once $D416 cutoff/$D417 res+routing/$D418 (globalvol|filtermode); Y stride {0,7,14}. Hard restart default 2 ticks zeroes AD/SR/wave before new note; wavetable $FF=zero wave+ADSR (percussive); gate=wave bit0 AND chn_gateon. SIDID FIX: local cfg starts OdinTracker sig with 'C0 0F' but canonical cadaver/sidid is '29 0F C0 80 F0...' (AND #$0F + effect-F CPY/BEQ dispatch chain) - fix local cfg leading byte at migration. CENSUS (PSID headers): all PSID v2, init/play offset always +3; $1000/$1003=126/159 (79%); 156 VBI / 1 CIA (CiaTno.sid) / 2 RSID play=0 own-IRQ (Dirt_Ball.sid, Gods_preview.sid); reloc outlier Whirl.sid (offset $3E = custom wrapper); zero STIL/BUGlist. NO third-party parser exists (all players treat it as self-contained PSID). Two on-disk format generations: v1.0x (no filter table) vs v1.1x-1.13 (+$4E00 filter table + instr fields 13-15); agents believe all 159 are v1.1x. OPEN (migration): confirm v1.0x/v1.1x census via instr-bytes-13-15 fingerprint; RSID/CIA per-IRQ verdict path; parse PACKED layout (precomputed TRACKTRANSPOSES0-2/TRACKPOINTERSLO/HI0-2, not editor's dynamic addressing). Top composers SounDemoN(~50)/Hoffmann_Michal/Factor6/Monk/LordNikon; Cadaver Darkness.sid = good test case. Cleared to start disassembly (really: transcribe the source). See pipelines/odintracker/docs/README.md.",2026-06-15,"[""OdinTracker""]",163
prosonix,LITTLE,single research.md first-pass overview; research-engine sweep not yet run.,2026-06-13,"[""Prosonix""]",131
rayden_digi,SOME,"opened 2026-08-31: RE_NOTES + seed disassemblies for a V1 and a V2 member; V1/V2 split measured as two pacing topologies (V1 unrolled raster-burst, V2 two vector-swapped NMI handlers = the Digi-Organizer shape). No research-player sweep yet; V2 handlers are relocated so runtime values need siddump capture. Phase 3 of docs/digi_parametrization_proposal.md.",2026-08-31,"[""Rayden_Digi_V2""]",1
reflextracker,OK,"research-player sweep complete (2026-06-15, 6 parallel agents). Reflex-Tracker V1.1 (1995), group Reflex / The Obsessed Maniacs. In-binary credits: editor code ZORC, design/docs/songs/samples PVCF, disk+optimize+sample-menu KB (Tammo Hinrichs), sample-pack compression QUISS (Matthias Kramm); module header 'CODE BY ZORC/REFLEX AND KB/T.O.M'. 137 HVSC SIDs. ===TWO REFRAMES=== (1) It is a 2-VOICE DIGI/SAMPLE tracker, NOT melodic SID: during play the player writes ONLY $D418 (4-bit master-vol DAC), installs its own CIA2 Timer-A IRQ at ~6702 Hz ($DD04=$93), reads one nibble from each of two sample streams (ZP ptrs $D0/$D1 + $D2/$D3), mixes+clips them -> $D418. SID 3 synth voices UNUSED; 'third voice' (drum/snare) is a software trick in the 2-ch mixer. => MIGRATION IS MODE 2 (CYCLE-EXACT), like Chimera, NOT frame-by-frame instruction-sequence; USF carries PCM sample data + 2-voice pattern/track via the Chimera-style digi sidecar pipeline (sample.py/flac_io.py/digi_pack.py), verdict=compare_strict NOT verify_all. (2) research.md's 'PC cross-tracker/10 channels' is misleading for HVSC: the player in all 137 SIDs is a C64 binary (2KB @ $C000); 'PC' = a PC<->C64 sample-transfer workflow; QuadSID (up to 10ch via 4 SID chips) exported MIDI ONLY, never .sid, so ZERO QuadSID/multi-SID tunes in HVSC (PVCF's Bladeswede survives only as its DMC 3-ch downmix). NO SOURCE exists anywhere (predates GitHub; kb/Quiss/Zorc never released it) BUT recovered D64 + 2KB player + 28KB German manual (BESCHREIBUNG) + 3 RFX1 demo modules = format effectively complete from primary artifacts (preserved in docs/src/). FORMAT: player 2048B @ $C000, init $C006 (SYS 49158), play=$0000 own-IRQ. RFX1 module = 'RFX1' magic + track table + pattern data + bulk PCM. Track table = 2-voice orderlist: pattern# (hex, <=256) or '--' (voice silent, never both at once or player can't find speed) / 'RP' (loop to pos0) / 'ED' (stop). Pattern = 16 rows; per-voice fields SND (note; --=rest, ==stop), IS (8-bit sample#; --=continue prev sample at new pitch = 'switch' fx), Direction (0=fwd/1=rev), Speed (hex 0-F, Voice1 PRIORITY, 7=normal 4/4), Volume (2-bit/4 levels). Instruments=named samples w/ start/end RAM addrs, signed 8-bit PCM or 4-bit packed. Disk also ships sample-CAPTURE drivers (Userport/IO1/IO2/Joystick 2-8bit + SDRV.SIDWAVE) = compose-time only, not the player. CENSUS: 137 SIDs (incl 6 in DEMOS/), all PSID v2, all 1 subtune, all play=0; 130/137 init=$C006; outliers a $C050 group (PVCF Gubber/Trance202/Originalzak) + Jonny/Future_Come.sid $1C06 (player reloc to $1C00); no PSID v3/2SID. Polish-scene dominated (CJ Warlock=Piotr Grabowski ~25). Two player builds: standalone ($C006 direct, e.g. Access_Denied_remix) vs iAN-CooG-wrapped self-relocating $1F00->$F000. Pre-V1.0 'FTRAC V1' existed mid-1994 (Brainbeat 3); LSD (Liquid Sound Designer, 1997, Quiss+PVCF) = related follow-on. English manual in Insider #6 ch.10 'TRACKERINSTR' (needs VICE, uncaptured). OPEN (migration): decode RFX1 internal byte offsets (instrument/sample table is main undecoded piece; pattern stream ~$3D80, 00-4F notes/>=$50 control); VERIFY ~6702Hz CIA rate + init SMC sample-rate patch (note->period sub ~$F2CF) = the Mode-2 timing crux; wire to digi sidecar pipeline + compare_strict; standalone build first. Cleared to start disassembly. See pipelines/reflextracker/docs/README.md.",2026-06-15,"[""Reflextracker""]",137
romuzak,OK,"research-player sweep complete (2 waves). No public source/parser, BUT recovered the author's complete editor manual ROMUZAK.DOC (German, V6.2+V7.9x) from the VacSID zip (src/romuzak_doc_vacsid_bundle.txt) = a primary format spec: memory map (init/play/stop @ +0/3/6, ROMUZAK89 string @ +9, inst block @ +$18, 96-entry freq table @ +$A2), FC-V1.0-compatible track byte ranges ($00-BF same as FC + $C0-FB sound-transpose + $FC goto), instrument bytes B0-B7 (B6 PW-vibrato, B7 flag remap vs FC), drum table 2x16+$FF, 21 sector commands (VDL/ARP/REL/ECH/...), zero-page $F8-FB. sidid V6.x/V7.x decoded (V7 adds PHA+AND#7 note packing). FC-conversion mapping cross-ref'd vs local future_composer/docs. By Oliver Blasnik (ROM), Digital Marketing, German scene. OPEN (RE-phase): numeric sector-command dispatch bytes, exact effect register formulas, V7.96 dual-player layout, copyright-validation addr. 591 HVSC tunes (569 V6.x + 22 V7.x).",2026-06-14,"[""RoMuzak_V6.x"", ""RoMuzak_V7.x""]",615
sidduzzit,OK,"research-player sweep complete (2026-06-13, gather-only/sonnet): fully open source (TASS player SRC_SDI21-N50/SPD50.asm) + 65KB official docs + Psylicium manual, kept in docs/src/. Player API ($1000 init/$1003 play/$1006 fade/$1009 speedplay), 4 voices (3+conductor), 10-col-major instruments, waveform-bytecode + pulse/filter/vibrato program tables, FX+note sequencer all captured. KEY: ~25 rem_* assembly flags strip unused effects -> music-data/table bases NOT fixed-offset, must be dataflow-located per tune (FC/DMC-style). V1.x!=V2.x (NTSC vs PAL, incompatible); HVSC overwhelmingly V2 at $1000. Siblings SIDSys/Comptech-X/Echo are separate engines. OPENs deferred to migration (write order, rem_* fingerprint, speed-bit survey). Cleared to start. See pipelines/sidduzzit/docs/README.md.",2026-06-13,"[""Geir_Tjelta/SIDDuzz'It""]",1000
sidfactory_ii,OK,"research-player sweep complete (2 waves). Format fully open from Chordian/sidfactory2 C++ (no 6502 asm in repo). Byte-exact: orderlist/sequence packing, instrument+wave/pulse/filter/HR/arp/tempo tables, command table, relocation/pack pipeline. Drivers 11-16 diffed; all single-speed (no multispeed). KEY: exported HVSC .sid strips the 0x1337 descriptor -> extractor must fingerprint driver + anchor on PSID init/update + driver-layout offsets. Open items (freq table, within-frame write order, driver11 sub-version probe) are all disasm-phase. 377 HVSC tunes.",2026-06-13,"[""SidFactory_II/Laxity""]",428
